Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category
Security Guard,45795,28,Master's,0.18,1.28,0.85,High
Research Scientist,133355,20,PhD,0.62,1.11,0.05,Low
Construction Worker,146216,2,High School,0.86,1.18,0.81,High
Software Engineer,136530,13,PhD,0.39,0.68,0.6,Medium
Financial Analyst,70397,22,High School,0.52,1.46,0.64,Medium
AI Engineer,92592,11,Master's,0.29,0.51,0.1,Low
Mechanic,107373,23,PhD,0.67,1.09,0.41,Medium
Teacher,53419,12,High School,0.2,1.4,0.17,Low
HR Specialist,139225,12,Master's,0.3,0.61,0.48,Medium
Customer Support,85016,2,High School,0.01,1.01,0.8,High
UX Researcher,82733,6,High School,0.5,0.8,0.41,Medium
Financial Analyst,117455,22,High School,0.67,1.26,0.4,Medium
Lawyer,79811,27,High School,0.68,0.52,0.5,Medium
Data Scientist,115981,9,High School,0.26,1.16,0.63,Medium
Research Scientist,96690,19,Master's,0.89,1.28,0.21,Low
Graphic Designer,32869,2,High School,0.65,0.72,0.58,Medium
Teacher,36893,29,Bachelor's,0.97,0.89,0.27,Low
Teacher,103744,11,Bachelor's,0.94,1.45,0.28,Low
Retail Worker,148015,2,PhD,0.17,1.06,0.93,High
Doctor,108069,15,Master's,0.55,0.8,0.15,Low
AI Engineer,43403,1,High School,0.09,1.08,0.06,Low
HR Specialist,49508,27,Bachelor's,0.22,1.12,0.33,Medium
Teacher,58251,25,PhD,0.08,0.53,0.29,Low
Financial Analyst,33343,28,High School,0.74,1.05,0.54,Medium
AI Engineer,125435,15,PhD,0.1,0.99,0.17,Low
Software Engineer,39540,12,High School,0.16,0.57,0.56,Medium
Mechanic,68304,7,Master's,0.91,0.7,0.33,Medium
Customer Support,33267,25,PhD,0.7,1.13,0.92,High
HR Specialist,89031,22,Master's,0.93,1.36,0.47,Medium
HR Specialist,102936,18,Master's,0.09,0.82,0.68,Medium
Teacher,114076,20,Master's,0.49,0.56,0.19,Low
Retail Worker,69081,8,High School,0.82,1.21,0.72,High
Retail Worker,102124,11,Bachelor's,0.56,0.92,0.93,High
Truck Driver,91629,24,High School,0.37,0.79,0.92,High
Teacher,43843,24,PhD,0.52,1.13,0.22,Low
Mechanic,59703,25,Bachelor's,0.19,0.96,0.44,Medium
Mechanic,64349,2,Bachelor's,0.82,1.45,0.59,Medium
Customer Support,92292,25,Bachelor's,0.38,1.47,0.91,High
Chef,53524,20,PhD,0.94,1.35,0.4,Medium
Retail Worker,88017,21,Bachelor's,0.77,1.02,0.91,High
Graphic Designer,111317,27,PhD,0.98,1.11,0.55,Medium
Doctor,144825,23,Bachelor's,0.84,1.27,0.07,Low
Research Scientist,52415,7,PhD,0.18,1.2,0.15,Low
Construction Worker,134680,11,PhD,0.21,0.86,0.83,High
Customer Support,109714,28,PhD,0.99,1.04,0.93,High
Data Scientist,97067,12,High School,0.87,0.85,0.46,Medium
Construction Worker,37561,2,Master's,0.65,0.98,0.85,High
Teacher,142581,4,High School,0.93,0.51,0.11,Low
UX Researcher,39111,5,Bachelor's,0.4,1.47,0.65,Medium
Retail Worker,72101,3,High School,0.43,1.01,0.76,High
Security Guard,117958,9,High School,0.99,0.82,0.9,High
AI Engineer,97444,23,High School,0.99,0.71,0.14,Low
AI Engineer,30077,25,High School,0.91,0.82,0.2,Low
UX Researcher,148721,13,High School,0.07,0.73,0.52,Medium
Customer Support,127720,0,High School,0.71,1.28,0.74,High
Data Scientist,50103,4,Master's,0.49,0.91,0.61,Medium
Graphic Designer,145033,13,High School,0.61,1.41,0.36,Medium
Doctor,95310,25,Bachelor's,0.07,0.58,0.08,Low
Mechanic,93374,20,Master's,0.38,1.24,0.38,Medium
Research Scientist,71914,11,Master's,0.91,0.75,0.19,Low
Financial Analyst,132547,21,PhD,0.86,1.04,0.37,Medium
UX Researcher,119106,17,Master's,0.29,1.21,0.51,Medium
UX Researcher,82603,0,High School,0.03,0.66,0.59,Medium
Security Guard,131358,7,Bachelor's,0.1,0.74,0.88,High
Security Guard,83394,15,High School,0.18,1.08,0.81,High
Nurse,92516,11,Bachelor's,0.22,1.47,0.24,Low
Graphic Designer,53752,21,Master's,0.65,0.92,0.35,Medium
AI Engineer,108411,22,PhD,0.11,0.64,0.12,Low
Chef,116145,27,Master's,0.96,0.68,0.34,Medium
Data Scientist,124613,4,High School,0.48,0.77,0.52,Medium
Marketing Manager,30060,10,PhD,0.6,0.96,0.33,Medium
Marketing Manager,87134,11,High School,0.54,1.37,0.59,Medium
Construction Worker,67641,15,PhD,0.93,0.68,0.84,High
Research Scientist,67265,26,Master's,0.83,0.54,0.2,Low
Customer Support,145608,12,Master's,0.63,1.39,0.85,High
Mechanic,59629,16,High School,0.4,0.98,0.55,Medium
Data Scientist,85619,17,Bachelor's,0.23,0.54,0.31,Medium
Software Engineer,136506,29,PhD,0.61,0.67,0.7,Medium
Research Scientist,148533,4,High School,0.06,1.47,0.27,Low
Financial Analyst,105758,24,Bachelor's,0.59,1.08,0.34,Medium
Marketing Manager,55559,27,Master's,0.37,0.76,0.59,Medium
Financial Analyst,31591,7,Master's,0.68,1.07,0.41,Medium
Financial Analyst,32469,27,Master's,0.16,1.38,0.65,Medium
Marketing Manager,117263,12,Bachelor's,0.62,1.48,0.55,Medium
Retail Worker,121357,4,Master's,0.1,1.44,0.87,High
Nurse,54860,11,High School,0.75,0.63,0.24,Low
Retail Worker,36540,8,PhD,0.16,1.29,0.87,High
Retail Worker,58602,19,High School,0.4,0.77,0.95,High
Lawyer,69341,24,PhD,0.87,1.28,0.61,Medium
Doctor,41536,29,PhD,0.69,0.93,0.1,Low
Marketing Manager,113309,14,Master's,0.6,0.79,0.58,Medium
AI Engineer,78787,0,Master's,0.56,0.51,0.13,Low
Graphic Designer,98577,9,High School,0.17,0.6,0.55,Medium
